Subset,N events,Mc (MAXC),Mc (GFT),GFT R (%),N ≥ Mc,b (MLE),SE b (MLE),a (MLE),b (LSQ),SE b (LSQ),a (LSQ),R² (LSQ)
Shallow (<70 km),13983,4.2,4.9,90.88183380624638,3223,0.9199981038970597,0.01708098827597884,8.016251014607928,0.9143653637788017,0.02539850742702115,8.028542612825234,0.9751703116346182
Intermediate (70-300 km),3267,4.2,4.9,87.22191663703649,1049,0.9685870341586275,0.030404021868672696,7.766851955570833,1.0274433258058417,0.02465282761459891,8.125062076989527,0.9841353465831371
Deep (>300 km),417,4.6000000000000005,4.7,77.45867554408309,222,0.6667591630879798,0.04182003015055875,5.4801210409641445,0.7296999387998097,0.03638326731600008,5.840457709002608,0.9414848757668894
