Subset,N events,Mc (MAXC),Mc (GFT),GFT R (%),N ≥ Mc,b (MLE),SE b (MLE),a (MLE),b (LSQ),SE b (LSQ),a (LSQ),R² (LSQ)
1980,1898,4.2,4.5,91.1275888801736,689,1.173216616472615,0.041497777598601654,8.117693996034394,1.3458786570202694,0.019054551896189664,8.974669070508671,0.9960071946487321
1990,2698,4.2,4.7,89.13468436231824,887,0.9410509477175651,0.03068681474578798,7.370863074104282,0.9894667919197366,0.019196045403145786,7.632888951598966,0.9888348106639885
2000,2265,4.2,4.4,88.2338274577857,1162,0.8841103503356335,0.02362425181930141,6.9552916695311,0.9975023155633388,0.013257470482887238,7.519670721826109,0.994728679687747
2010,3517,4.2,4.7,91.93835282716486,1106,0.9897582876262023,0.029697772696388843,7.695619078811831,1.0446844355143317,0.02593792544188951,8.00896137618924,0.9830321821391315
2020,4016,4.2,4.0,91.84608960931577,4016,0.8508349867425057,0.012564586670096111,7.007133651106986,0.9597916290613397,0.01441227194691274,7.5296982501963,0.9917262099546027
