Model,n,Mean residual,SD,t (mean = 0),p (bias),Shapiro–Wilk W,p (normality),Heteroscedasticity slope,p (heterosced.),Ljung–Box Q,p (autocorr.)
Extra Trees (test),107,0.0496238259401052,0.49202754594837883,1.0432603847773267,0.2992011806397988,0.9336951049618428,4.588144764454995e-05,0.31741955202585787,0.01638319796902467,5.47297679832447,0.857430502423585
Random Forest (test),107,0.02632660529698769,0.500133408955536,0.5445037620722711,0.587238516462391,0.9318076352086815,3.5353093639630574e-05,0.2515500818471555,0.09230460265291839,3.8269649000590307,0.9548154386627339
ARIMAX (test),107,-0.028746674140187257,0.5114194549139957,-0.5814364444373105,0.5621807339813281,0.8874792751427871,1.7999983598838798e-07,0.21632062556866277,0.37912231752471326,5.269156866956911,0.8724881147891489
