Catalogue,N,M,SD,Mdn,Min,Max,n (M ≥ 5.0),n (M ≥ 6.0),Mdn depth (km)
Full catalogue,17667,4.569366615724231,0.5478311245639224,4.4,4.0,8.3,3607,445,33.0
Declustered catalogue,15460,4.5791979301423025,0.5606861684719737,4.4,4.0,8.3,3261,431,33.0
