Precursor magnitude (Mpre),Spatial window L (km),Temporal window ta (days),Magnitude cut-off (Mpre − Md)
4.0,1.5848931924611134,1.0513543089324358,3.0
5.0,5.011872336272722,5.789973244419449,4.0
6.0,15.848931924611133,27.14489278096424,5.0
7.0,50.11872336272722,123.38233972929832,6.0
8.0,158.48931924611142,557.0831635270143,7.0
