Magnitude class,Precision,Recall,F1-score,Support
Moderate (5.0-5.9),0.8333333333333334,0.9770114942528736,0.8994708994708994,87
Strong (6.0-6.9),0.5,0.11764705882352941,0.19047619047619047,17
Major (>=7.0),1.0,0.3333333333333333,0.5,3
Macro average,0.7777777777777778,0.4759972954699121,0.5299823633156966,107
Weighted average,0.7850467289719626,0.822429906542056,0.77562676160807,107
