Magnitude scale,n reported,% of catalogue,n adopted as working scale,M,SD,Mdn,Min,Max,Skew,Kurt
Ml,8288,46.91232240901115,3202,4.3484833494208495,0.40160905337005254,4.3,1.3,6.5,0.8947775490299464,2.570656234387556
Mb,6824,38.625686307805516,1730,5.225117233294255,0.3862685799165822,5.2,2.5,7.8,-0.18718660327239292,6.087956719073475
Ms,11899,67.35155940453954,11830,4.496377846877889,0.5435940831616123,4.3,3.5,8.3,2.1227378114413384,6.290741253980226
Mw,905,5.122544857644195,905,4.996022099447514,0.6029661927501158,5.0,4.0,7.8,1.0114896224327101,1.4628221984885013
