Test,Statistic,df,p,Effect size,Effect size index,Interpretation
Levene (median-centred),26.037812668572727,"2, 17664",5.111610400780652e-12,,—,Variances unequal
One-way ANOVA,110.22483020225762,"2, 17664",2.6681803910738023e-48,0.012326331790492896,η²,Small
Welch's ANOVA,91.3500398005695,"2, 1048.9",2.6738152248642933e-37,0.012213819867673005,ω²,Small
Kruskal–Wallis H,244.70719230270024,2,7.286321842420126e-54,0.01374021695554236,ε²,Small
