MainshockTime,MainshockYear,MainshockLat,MainshockLon,MainshockDepth,Target,NO,Mag_max,Mag_mean,b_lsq,a_lsq,b_std_lsq,std_gr_lsq,b_mlk,a_mlk,b_std_mlk,std_gr_mlk,dM_lsq,dM_mlk,Energy,x7_lsq,x7_mlk,zvalue,beta,T_elaps6,T_elaps65,T_elaps7,T_elaps75,TargetClass
1957-02-11 14:25:43.000,1957,10.0,126.0,33,6.5,3.0,6.7,6.6000000000000005,2.3856062735983112,16.00438515587673,0.7557266632048387,0.03606670660650584,2.895296546021672,19.29654880386053,1.113149032428996,0.10784163513291199,-0.008728650238094104,0.03520815669978283,1551746896292.478,6.969171937625679e-08,2.061153622438658e-09,-0.9999999999999999,8.672617004934883,0.5492939814794227,0.5492939814794227,1790.1448611111082,1790.1448611111082,Strong (6.0-6.9)
1957-02-13 00:29:48.000,1957,10.1,126.5,33,5.7,4.0,6.7,6.575,3.010299956639811,20.169009709486726,0.99775314318529,1.1716206776437227e-14,3.4743558552260145,23.185373050297056,1.3290831634730944,0.0733736800584256,3.552713678800501e-15,0.026713204860014272,1705610056191.2202,9.313225746154824e-10,3.775134544279108e-11,-1.5491933384829666,10.01427552475536,1.419502314816782,1.419502314816782,1791.564363425925,1791.564363425925,Moderate (5.0-5.9)
1965-08-08 04:32:45.400,1965,6.6,126.7,99,5.0,3.0,5.1,4.8,0.5767855668282794,2.987515346564274,0.15928234959536425,0.08437908520728295,0.9650988486738945,4.723556188884799,0.4459462126284331,0.17206970276903732,-0.07959449469670421,0.2056244700993508,47512430726.64314,0.018605583705398977,0.0012726338013397947,-0.44721359549995787,4.308100197271101,807.5559652777774,8818.712342592593,10625.401069444446,15090.506775462964,Moderate (5.0-5.9)
1966-06-08 22:01:17.000,1966,9.64,126.68,47,5.1,3.0,5.6,5.166666666666667,0.57678556682828,3.125393132146426,0.1672513291030442,0.12121265910605335,1.3714562586418488,7.197256922064723,0.9455940494198056,0.25307540944194457,0.1813603670202184,0.3521061085884307,116975800036.51044,0.0186055837053989,7.684776196487846e-05,-1.4411533842457844,4.047396061842092,3404.316365740742,3404.316365740742,5194.46122685185,5194.46122685185,Moderate (5.0-5.9)
1968-07-07 21:34:05.300,1968,9.65,126.39,52,5.2,3.0,5.2,5.1000000000000005,2.385606273598294,12.425975745479178,0.7557266632048277,0.03606670660650687,2.895296546021672,14.953603984828023,1.113149032428996,0.10784163513291282,-0.008728650238096769,0.03520815669978283,69313987774.50327,6.969171937626504e-08,2.061153622438658e-09,-1.4411533842457844,3.817433980804671,323.25412962962946,4164.297480324076,5954.442341435184,5954.442341435184,Moderate (5.0-5.9)
1968-08-06 23:44:34.000,1968,15.65,121.96,30,5.2,14.0,7.3,5.1499999999999995,0.26552708465687314,1.797894934062155,0.030062386454542084,0.10745345227097192,0.496336550746574,3.1333764001354902,0.10504087132058965,0.22329633656010808,0.5289584078193705,0.9869924340200962,3722474573200.2773,0.15974186333669754,0.032433240894795407,-2.6457513110645907,18.734993995195193,5.142505787036498,5.142505787036498,5.142505787036498,43535.17270833333,Moderate (5.0-5.9)
1968-08-10 16:41:31.500,1968,15.41,121.59,86,5.2,11.0,5.3,4.972727272727273,3.010299956639844,15.954589770191173,1.1618461361022954,5.2646408249438624e-15,3.4743558552260394,18.321274852980764,1.5476675253660928,0.5077939761129847,0.0,0.026713204860014272,113705205742.6629,9.313225746152729e-10,3.775134544278459e-11,-0.26413527189768704,15.842145117751423,2721.819751157407,43535.17270833333,43535.17270833333,43535.17270833333,Moderate (5.0-5.9)
1968-08-13 00:14:58.500,1968,15.62,121.83,42,5.0,15.0,7.3,5.126666666666666,0.17084519395726833,1.1323376476383498,0.010853842688981485,0.170605452359811,0.8985403073860382,5.360706818052439,0.3002293306588331,0.5499803591647996,0.672142221796598,1.333982923206439,3717547524481.0083,0.3072305640070946,0.00201548271450704,0.6166698388447787,19.392561165855028,11.163622685184237,11.163622685184237,11.163622685184237,43535.17270833333,Moderate (5.0-5.9)
1968-08-14 07:56:37.000,1968,15.08,122.51,15,5.5,8.0,5.3,5.0125,2.385606273598338,12.664536372839242,0.7991799892379231,0.03606670660650738,2.895296546021689,15.243133639430278,1.1771536920296188,0.3712280888832378,-0.008728650238097657,0.03520815669978283,103394359526.9695,6.969171937624396e-08,2.0611536224384135e-09,1.4770978917519928,14.162324264449978,43535.17270833333,43535.17270833333,43535.17270833333,43535.17270833333,Moderate (5.0-5.9)
1968-08-28 02:15:18.000,1968,15.57,122.33,15,5.0,3.0,5.5,5.166666666666667,0.833733482553905,4.489582858715681,0.2819941396631976,0.08932670334796974,1.3714562586418488,7.197256922064723,0.7630438887732095,0.17494892973105775,0.11508629236872814,0.2521061085884311,100585968423.46666,0.003153548773936584,7.684776196487846e-05,-0.6123724356957945,2.1255371128042,26.24718171296263,26.24718171296263,26.24718171296263,43535.17270833333,Moderate (5.0-5.9)
1968-08-28 20:42:20.200,1968,15.55,122.02,42,6.1,3.0,5.1,5.0,2.3856062735983383,12.187415118119576,0.7557266632048526,0.03606670660650687,2.895296546021689,14.664074330225938,1.113149032429004,0.1078416351329146,-0.008728650238097657,0.03520815669978372,56340524460.14158,6.969171937624367e-08,2.0611536224384135e-09,-2.1213203435596424,2.4934765753283394,27.015957175928634,27.015957175928634,27.015957175928634,43535.17270833333,Strong (6.0-6.9)
1968-08-29 01:36:22.500,1968,15.51,121.98,39,5.3,4.0,6.1,5.275,0.39571902221000044,2.2826247176712786,0.1001308785610325,0.14410718601290606,1.0218693691841223,5.609219900330162,0.667705470841508,0.30841288993403876,0.33170333100657956,0.6108248965240461,314123404569.9036,0.06498946074193462,0.0008597890156869469,-1.9215378456610455,3.6297049773194057,0.20419328703428619,27.22015046296292,27.22015046296292,43535.17270833333,Moderate (5.0-5.9)
1968-08-29 08:05:36.200,1968,15.57,122.01,60,5.1,5.0,6.1,5.28,0.4084378402951071,2.3853592916569304,0.08264922175257024,0.1093176750969969,0.9650988486738945,5.399125382956525,0.4614561319130831,0.21983273958271496,0.25979848994048726,0.5056244700993506,319594871365.4725,0.059523228513229914,0.0012726338013397947,-1.986798535597566,4.470720159908056,0.4744907407402934,27.490447916668927,27.490447916668927,43535.17270833333,Moderate (5.0-5.9)
1968-09-03 19:38:45.000,1968,15.5,122.2,21,5.0,7.0,6.1,5.257142857142857,0.31808083647977403,1.866074240681341,0.03512906427888397,0.13306276054457475,1.3714562586418488,7.745839425521461,0.6530636234431217,0.29057676901387813,0.2333333333333325,0.45210610858843214,327294686110.35236,0.11111111111111183,7.684776196487846e-05,-0.9332565252573828,6.291019239910419,5.955842592589761,32.971799768518395,32.971799768518395,43535.17270833333,Moderate (5.0-5.9)
1969-01-30 17:19:36.400,1969,4.86,127.53,82,5.2,3.0,5.9,5.400000000000001,0.49053693002164694,2.829105897847763,0.1597646272632896,0.07670250492469728,0.7896263307331841,4.346290275312265,0.41398104511822215,0.1620671755187218,0.1326342326093224,0.3957632412325385,218164402223.50467,0.033758971732029464,0.004276820349208958,-0.9999999999999999,4.95782220511194,4146.37397453704,4146.37397453704,4146.37397453704,4146.37397453704,Moderate (5.0-5.9)
1969-01-31 08:56:43.000,1969,4.28,128.14,33,5.2,5.0,5.9,5.42,0.9595129533079578,5.552597182110748,0.29493776510292186,0.10248651699970263,1.240841376866432,7.053580552111751,0.4932433456385003,0.1279331782043208,0.11310867876462183,0.21548569896616154,242245173735.16013,0.0013226993498501043,0.00018944182523289666,-1.0,8.078943075289343,15811.021354166667,17713.246006944442,43535.17270833333,43535.17270833333,Moderate (5.0-5.9)
