Scales reported together,n events,% of catalogue
Ms,6725,38.065319522273164
Ml + Mb + Ms,5073,28.71455255561216
Ml,3202,18.124186336106867
Mb,1729,9.786607799852833
Mw,835,4.726325918378898
Ms + Mw,69,0.39055866870436406
Mb + Ms,21,0.11886568177958906
Ml + Ms,11,0.06226297617026094
Ml + Mb,1,0.005660270560932813
Ml + Mw,1,0.005660270560932813
