Magnitude class,Training f,Training %,Validation f,Validation %,Test f,Test %
Moderate (5.0-5.9),297,92.5233644859813,93,86.91588785046729,87,81.30841121495327
Strong (6.0-6.9),21,6.542056074766355,12,11.214953271028037,17,15.88785046728972
Major (>=7.0),3,0.9345794392523364,2,1.8691588785046729,3,2.803738317757009
