Variable,n,Shapiro–Wilk W,p (S–W),D'Agostino K²,p (K²),K–S D,p (K–S),Skewness,Kurtosis,Decision at α = .05
Magnitude,17667,0.8696447335250241,8.934551795649062e-54,5629.12818518845,0.0,0.14933018683884486,0.0,1.6123217646909862,3.937566634326294,Reject normality
Depth,17667,0.5513437645219162,7.990768153497383e-78,15187.42684433687,0.0,0.26605665888860375,0.0,4.204884343399052,21.247019987656035,Reject normality
Latitude,17667,0.9592839921905386,2.721078085862953e-35,1313.38173200103,6.35010022206277e-286,0.06715575784716854,1.0160740115289477e-69,0.4893715109080957,-0.6345284173412988,Reject normality
Longitude,17667,0.9137341363512829,9.325470823346978e-47,2424.486528198911,0.0,0.1487252778246133,0.0,-0.5911155495851228,-0.8051740921048891,Reject normality
