n_estimators,max_depth,min_samples_leaf,max_features,Validation RMSE
300,8.0,1,0.5,0.38327810315826816
300,,1,0.5,0.38411866460026245
600,,1,0.5,0.38428312376527524
600,8.0,1,0.5,0.3844893228645572
600,16.0,1,0.5,0.3850408283659754
300,16.0,1,0.5,0.38608125551331945
300,16.0,2,0.5,0.3871738004300136
300,,2,0.5,0.38818894844650853
300,8.0,2,0.5,0.3888122797701457
600,,2,0.5,0.3890590225062067
600,16.0,2,0.5,0.38906942946725487
600,8.0,2,0.5,0.38927284265070344
