Depth class,f,%,Cumulative %,M (magnitude),SD,Max
Shallow (<70 km),13983,79.14756325352351,79.14756325352351,4.5409211185010365,0.5376036281427506,8.3
Intermediate (70-300 km),3267,18.492103922567498,97.63966717609101,4.657728803183349,0.553730417529036,7.8
Deep (>300 km),417,2.360332823908983,99.99999999999999,4.830935251798561,0.6830554503123729,7.3
