Feature,n valid,n missing,M,SD,Mdn,Min,Max,Skew
NO,535,0,12.29532710280374,16.02826029037071,6.0,3.0,185.0,4.6050254996980735
Mag_max,535,0,5.607289719626167,0.6833514706099291,5.6,4.1,7.4,0.4435758319827571
Mag_mean,535,0,4.797198166277641,0.36580936834510447,4.746153846153846,4.033333333333333,6.6000000000000005,0.6746878858296003
b_lsq,511,24,0.8406794303244846,0.6254304981034412,0.7024033232159566,-0.0,3.010299956639844,1.3880351861194193
a_lsq,511,24,4.576582273235737,3.2670542025862406,3.7994130364147223,0.0,20.169009709486726,1.433039849887612
b_std_lsq,511,24,0.2245890204897243,0.228446614819014,0.1597646272632896,0.0,1.5918633270653284,2.361633852531051
std_gr_lsq,511,24,0.09228991595466579,0.038079285158227325,0.08863619334872067,0.0,0.2358655969021092,0.10927438316149046
b_mlk,505,30,1.2881863964369622,0.9243786094690251,0.9870329134164825,0.24467294755112773,8.685889638065067,3.0574550182479494
a_mlk,505,30,6.72742093252658,4.537999886842207,5.34491097353361,1.6296863710426988,45.64374737265801,2.842077304254801
b_std_mlk,505,30,0.49469242655018114,0.4171248859738283,0.3609003080423377,0.0,2.587704001266451,1.8818958065212124
std_gr_mlk,504,31,0.23996800412218908,0.17470675379852255,0.18232953055148382,0.02832603914457938,1.1399699003319057,2.52881046546208
dM_lsq,497,38,-21613533897220.664,481841248982042.7,0.06666666666666554,-1.074192634691868e+16,0.7893747134854623,-22.29349680960795
dM_mlk,505,30,0.2612240067466518,0.33796777603812667,0.19361628705648393,-0.784712877382951,1.4875264969933948,0.8793024261684244
Energy,535,0,401262855974.039,818691133604.4331,136499550694.63216,7462318208.131916,5105300362856.305,3.693529741046147
x7_lsq,511,24,0.07922439460906858,0.18713452407181796,0.007812499999999977,9.313225746152729e-10,1.0,3.843800836287791
x7_mlk,505,30,0.00872914930892254,0.020372731343093458,0.0010937076750024452,8.75651076269468e-27,0.18449353715774003,4.410662900629391
zvalue,535,0,-0.7357893278923705,1.2495055953368135,-0.9999999999999999,-4.550755431793715,3.3856589561212718,0.7427981982624146
beta,535,0,9.794272601987725,9.081233176339524,6.87218282218995,-2.5354274974960855,65.28892008664705,1.8726510883184238
T_elaps6,535,0,2877.476733435445,5122.076208761598,565.978171296294,0.0022546296313521452,43535.17270833333,3.298159833461626
T_elaps65,535,0,7974.919400278858,10656.963264927086,4723.816454861113,0.016594675929809455,43535.17270833333,2.0431069554666337
T_elaps7,535,0,15033.696230516614,14979.31649885757,8476.342546296295,0.016594675929809455,43535.17270833333,0.9206215342080055
T_elaps75,535,0,26877.709443475036,15347.82460936317,25378.53715162037,488.88101527778053,43535.17270833333,-0.16756266431219105
