Series,n (years),Mann–Kendall S,Z,Kendall's τ,p,Sen's slope (per year),Trend
Annual event count,114,4704,11.526199154160249,0.7303213786679087,9.734730697491773e-31,3.459016393442623,Increasing
Annual maximum magnitude,114,-956,-2.3429158151916614,-0.14842415773948145,0.01913369982210504,-0.0040000000000000036,Decreasing
Annual mean magnitude,114,-4396,-10.763053722972757,-0.6825027169694147,5.143689297757713e-27,-0.026439143055725912,Decreasing
Annual count of M ≥ 6.0 events,114,1059,2.611984752949119,0.16441546343735444,0.009001826869473905,0.017543859649122806,Increasing
