Model and partition,n,MSE,RMSE,MAE,MAPE (%),R²,Bias (ME),Max |error|,% within ±0.3,% within ±0.5,95% CI for RMSE
Random Forest — training,321,0.03530827135537717,0.18790495298255755,0.14615814051964876,2.6787068848034727,0.7726855504713225,0.00023172262076554746,0.8776482914096997,90.96573208722741,97.81931464174455,"[0.168, 0.209]"
Random Forest — validation,107,0.14551846030063176,0.3814688195654158,0.2992486743009452,5.356094136891608,0.32013872258506904,-0.02315812373332028,1.0553530069096269,59.813084112149525,85.04672897196261,"[0.327, 0.436]"
Random Forest — test,107,0.24823452404695925,0.4982313960871587,0.38476816109961776,6.742577575129614,0.1260379883103303,-0.008644586128457473,1.7180905765267145,50.467289719626166,71.96261682242991,"[0.414, 0.579]"
LSTM — training,321,0.14321795096972673,0.3784414762809789,0.2855661957404885,5.219315293821122,0.07796364881084394,0.053765473739239504,1.8424434242197218,66.04361370716511,91.27725856697819,"[0.325, 0.431]"
LSTM — validation,107,0.25113611312045203,0.5011348252920087,0.38190597290295214,6.845568998671505,-0.1733062480070089,0.02941459532193668,2.0838945289746453,42.99065420560748,76.63551401869158,"[0.392, 0.622]"
LSTM — test,107,0.2992666485864144,0.5470526926964298,0.41141645556339723,7.08805238914297,-0.05363137232567383,-0.06716479109859387,1.7577870606519879,44.85981308411215,78.50467289719626,"[0.447, 0.646]"
