Variable,n,M,SD,SE,95% CI LL,95% CI UL,Mdn,Min,Max,Range,Q1,Q3,IQR,Skew,Kurt
Magnitude (working scale),17667,4.569366615724231,0.5478311245639299,0.004121594845145008,4.561287884765008,4.577445346683454,4.4,4.0,8.3,4.300000000000001,4.1,4.9,0.8000000000000007,1.6123217646909862,3.937566634326294
Focal depth (km),17667,54.89919058130979,86.34010804183228,0.6495778138157821,53.62595422692153,56.17242693569805,33.0,0.0,700.0,700.0,13.0,59.0,46.0,4.204884343399052,21.247019987656035
Latitude (deg N),17667,9.984379973962755,4.862434591950878,0.03658241463551748,9.91267484602491,10.0560851019006,9.4,2.0,22.0,20.0,6.0,13.377,7.377000000000001,0.4893715109080957,-0.6345284173412988
Longitude (deg E),17667,124.65152017886456,2.5449245657751884,0.01914668134259661,124.61399080173254,124.68904955599658,125.619,116.3,133.0,16.700000000000003,122.36,126.6215,4.261499999999998,-0.5911155495851228,-0.8051740921048891
Distance to nearest fault (km),17667,59.8175561848702,75.26066480950698,0.5662218778970667,58.707705656950246,60.92740671279015,32.9834934693529,0.178028377053327,617.259914467972,617.0818860909186,15.604376303601299,63.462378059421894,47.858001755820595,2.398410011995711,6.1770142621683775
