Probability source,ROC AUC,Average precision,Brier score,Brier skill score,Base rate
Random Forest classifier P(M ≥ 6.0),0.6994252873563218,0.4318530325435338,0.14052921293439197,0.07533393167479652,0.18691588785046728
"Random Forest regression, Platt-scaled",0.6971264367816092,0.4585677636641573,0.16235744039456212,-0.06829329602146106,0.18691588785046728
