Magnitude class,f,%,Cumulative %,Mdn depth (km)
4.0–4.4,9074,51.361295069904344,51.361295069904344,27.0
4.5–4.9,4986,28.222109016811004,79.58340408671535,33.0
5.0–5.4,2450,13.86766287428539,93.45106696100073,38.0
5.5–5.9,712,4.030112639384162,97.48117960038489,33.0
6.0–6.9,358,2.0263768608139467,99.50755646119883,34.0
≥ 7.0 (Major),87,0.4924435388011547,99.99999999999999,33.0
