Comparison,Mean rank difference,z,p,p (Bonferroni),Cliff's δ,Decision
Shallow (<70 km) vs. Intermediate (70-300 km),-1274.5056199030078,-12.907573845153195,4.079530637016059e-38,1.2238591911048177e-37,-0.14320638200183655,Significant
Shallow (<70 km) vs. Deep (>300 km),-2466.874582033579,-9.76914819116998,1.5273073651357625e-22,4.581922095407288e-22,-0.27666846522781774,Significant
Intermediate (70-300 km) vs. Deep (>300 km),-1192.3689621305712,-4.512488558741542,6.407139198168241e-06,1.9221417594504723e-05,-0.140661024899089,Significant
